sourceTweetID,total_reactions,reactions_10min,reactions_20min,reactions_30min,reactions_45min,reactions_1hr,reactions_3hr,reactions_24hr,lifespan_minutes,max_bin_reactions,num_time_bins,K,r,t0,final_reactions,data_points
498235547685756928,84,6,6,6,12,12,30,60,2442.6,12,35,72.35093636517492,0.0026214689737954,353.4055139686642,84.0,35.0
498248415223246848,162,24,36,36,60,72,126,156,1679.8833333333334,59,30,150.24564662568278,0.0170078905742403,28.226443296472336,162.0,30.0
498248648699150336,336,30,102,120,144,180,228,330,2513.016666666667,134,45,318.8307916014752,0.0087759177587933,21.35446900563751,336.0,45.0
498250100079341568,30,6,18,24,30,30,30,30,44.55,23,5,37.99837041289349,0.0215981463129997,-20.09755060828429,30.0,5.0
498251940997136384,48,6,6,12,12,12,42,42,4075.7166666666662,19,10,45.599999999994765,0.1,2015.0,48.0,10.0
498253149707464704,18,12,12,12,12,12,18,18,101.81666666666666,13,4,421977.0556141762,0.0031362034598946,3326.18266492272,18.0,4.0
498253652755111937,54,6,6,12,12,12,30,48,1671.5,13,25,49.86170443804235,0.0043948338419835,135.1989723976186,54.0,25.0
498254340310966273,252,6,6,30,66,84,126,126,2655.5333333333333,53,27,6356291.418168223,0.0003318507738186,33680.56192425769,252.0,27.0
498254540870017025,30,6,12,18,18,18,30,30,172.43333333333334,17,11,79.67354077546402,0.0044156832601452,285.9200606768697,30.0,11.0
498254929942028288,120,6,12,12,18,18,42,102,2499.8166666666666,18,48,114.6182828205129,0.0021442496389865,375.9162225394225,120.0,48.0
498255721260400640,24,12,12,12,18,18,24,24,166.83333333333334,16,7,175256.33874042096,0.0020948481357186,4431.501622523438,24.0,7.0
498255816034893824,168,6,6,6,6,6,18,102,3030.25,56,30,150.5999878727291,0.0017249252668418,546.6849165650416,168.0,30.0
498256407980826625,84,36,54,54,54,60,78,84,349.65,56,18,83.29641337180612,0.0112927104248652,-59.83354612301007,84.0,18.0
498259432237969408,60,12,12,24,48,48,54,60,963.3666666666668,33,9,57.26296918453762,0.0369025437804013,-5.960857988520096,60.0,9.0
498259903962570752,96,18,24,30,30,42,54,90,1788.5,33,30,90.70677479223929,0.0052810089324293,73.087186269735,96.0,30.0
498262106937237504,114,18,24,36,54,60,96,114,261.8,48,20,118.41188746313006,0.0130363800833896,31.721798490305293,114.0,20.0
498263598062661633,60,6,18,18,24,24,24,42,2120.55,19,19,53.62244663818901,0.0043901478678154,113.8821003984918,60.0,19.0
498264107460870144,624,66,90,120,144,144,162,168,3142.2166666666667,121,30,748.6068608842992,0.0138658202318456,3002.605246912219,624.0,30.0
498264393185239040,114,60,66,72,84,96,114,114,64.1,82,8,3762636.28755784,0.0056944820727312,1894.4054664022444,114.0,8.0
498265095559184384,114,18,18,18,24,48,90,114,1245.9833333333331,36,18,109.3418753567546,0.0187195334708687,46.014346251763925,114.0,18.0
498265555833720832,6,6,6,6,6,6,6,6,0.0,6,1,,,,,
498267196833808384,90,18,36,36,36,48,90,90,153.56666666666666,44,14,98.50199458086682,0.0172654370786258,21.313644592676265,90.0,14.0
498267673789472768,114,12,12,18,18,48,72,114,427.45,30,21,106.14304809499936,0.0182880729671343,50.1352082980511,114.0,21.0
498268463639851008,42,6,12,18,18,18,30,30,1754.3333333333333,17,12,37.99999999999128,0.1,765.0,42.0,12.0
498269289812856832,24,18,18,18,18,18,24,24,84.48333333333333,19,4,435758.5147741939,0.0029838543364139,3374.9401853747054,24.0,4.0
498269365175721984,6,6,6,6,6,6,6,6,0.0,6,1,,,,,
498269636551798784,6,6,6,6,6,6,6,6,0.0,6,1,,,,,
498269697453084672,258,6,36,54,60,60,102,192,3136.833333333333,53,54,269.9659542520119,0.0017389179575618,648.9843155888695,258.0,54.0
498271531386953728,6,6,6,6,6,6,6,6,0.0,6,1,,,,,
498271954185379840,54,12,18,18,18,24,42,54,540.8,22,19,52.65199146795369,0.0098635696453779,42.04391452946495,54.0,19.0
498272080564334592,84,18,42,72,78,78,78,84,702.7,61,9,81.33799535763166,0.064098585253501,-15.891635353128516,84.0,9.0
498272309535191041,54,18,42,48,48,48,54,54,112.5,43,7,52.78196280627464,0.0415576200493159,-37.540173816063245,54.0,7.0
498272364560257025,54,18,18,18,24,24,48,54,238.4,25,18,67.58304122748247,0.0087927137868745,73.25070680594418,54.0,18.0
498273703428620289,36,12,12,12,12,12,30,36,733.5333333333333,15,7,35.7687764425445,0.0202241959825397,27.35430178695007,36.0,7.0
498274493337702401,42,12,18,18,30,30,36,36,4335.2,24,8,41.56806702254183,0.024480880748994,-9.372528463574536,42.0,8.0
498274692873351170,114,60,72,78,96,108,114,114,67.4,88,8,934890.166395662,0.0047241823626388,1966.2522612593164,114.0,8.0
498274934553317376,48,6,30,48,48,48,48,48,28.58333333333333,38,3,,,,,
498274948772024321,78,24,30,36,36,42,48,72,7462.516666666666,36,24,71.47923163648437,0.0065315611250752,-14.763287203703165,78.0,24.0
498275621651636224,36,24,24,24,24,24,36,36,92.1,26,5,719278.1365279563,0.0038024647741244,2702.139634836923,36.0,5.0
498276304635322368,114,108,108,108,108,108,114,114,169.51666666666668,109,5,65757.40424355496,0.0002146392071101,29840.94427924819,114.0,5.0
498276354434277376,78,18,18,18,24,36,42,66,4350.55,26,23,76.13489493025327,0.0015627834837243,181.3822218466093,78.0,23.0
498276771226451968,204,60,90,114,120,120,168,192,2149.25,112,38,188.7468908533208,0.0107236691628401,-42.47466380323318,204.0,38.0
498277197581664256,24,18,18,18,18,18,24,24,115.36666666666666,19,5,431480.7791993611,0.0021535905936823,4671.698083709748,24.0,5.0
498277231253127168,18,12,18,18,18,18,18,18,10.383333333333333,17,2,,,,,
498277674692149248,114,54,84,96,108,108,114,114,63.516666666666666,94,7,119.3213387053568,0.0273689087581456,-48.17013280667726,114.0,7.0
498277678706077696,48,6,6,6,12,12,12,42,3929.75,9,18,45.64522994217549,0.0088508572571242,1197.620387740782,48.0,18.0
498278882244853760,96,18,30,42,42,72,96,96,132.43333333333334,50,12,101.9619735831544,0.0235602603710966,7.440453698463678,96.0,12.0
498279420885360641,90,6,12,12,18,18,30,90,872.4333333333333,25,22,86.65606668245552,0.0085070819039162,202.09759618748964,90.0,22.0
498280074941313024,36,18,18,36,36,36,36,36,28.933333333333334,30,2,,,,,
498280126254428160,30,18,24,24,24,24,30,30,171.7,24,7,225572.99768828967,0.0010668374089551,8573.419214012749,30.0,7.0
498280730070622209,54,12,18,18,18,24,48,54,204.21666666666667,23,13,56.1588837846343,0.0208772054012223,32.13949280104286,54.0,13.0
498281104865259521,48,6,12,12,18,18,30,48,751.3333333333334,16,18,46.95076399798333,0.0088864965995109,81.4388480945934,48.0,18.0
498281812821803008,48,18,18,36,36,48,48,48,56.71666666666667,34,6,102.5178812737298,0.0108963800102518,63.42298667667352,48.0,6.0
498281886603411456,108,24,30,30,36,36,84,96,1555.3,40,24,103.76728950359782,0.0138087266270909,49.57765894720778,108.0,24.0
498283038338711552,156,54,66,96,114,126,156,156,138.66666666666666,102,12,159.09469863630238,0.0275943538190416,-16.9374507014487,156.0,12.0
498283233982025728,78,48,60,60,60,60,78,78,178.85,61,10,1167615.033698515,0.0013588463602952,7257.330526546732,78.0,10.0
498283586425200640,108,6,6,6,6,6,48,108,255.66666666666663,27,21,250.12775761715952,0.0114981835519525,275.9270560481274,108.0,21.0
498284302128668672,204,90,138,138,138,144,180,204,1301.1,138,27,194.73053242982985,0.0097978046286426,-94.48890970913024,204.0,27.0
498284334806495233,72,42,66,66,72,72,72,72,34.05,65,4,73.03568250121701,0.0631139332007574,-33.33772391971578,72.0,4.0
498284429333524480,354,60,186,252,324,330,348,354,1411.15,250,14,349.1693397088469,0.0504933769178505,-17.261811166431563,354.0,14.0
498285405142540289,264,78,90,114,150,174,240,264,817.6833333333333,141,29,256.4105372792273,0.0124386944311466,-19.4829375961736,264.0,29.0
498285529704976385,24,12,12,12,12,12,18,18,1564.2,13,7,26597.03803885321,0.0002255210424292,33163.065730629314,24.0,7.0
498285556502372352,54,18,18,18,24,36,42,42,1471.3666666666666,26,10,52.39235245264207,0.0193504633015659,6.681011781698944,54.0,10.0
498285782512050176,24,6,6,12,12,12,18,24,583.8833333333333,11,9,23.51761978959548,0.00537730654124,7.83672908695616,24.0,9.0
498286045843435521,42,6,6,6,6,12,18,30,1969.9333333333332,9,20,130.6857767381007,0.0007325996011165,3045.930276860113,42.0,20.0
498286202077085696,6,6,6,6,6,6,6,6,0.0,6,1,,,,,
498286281894682624,48,12,24,36,36,42,42,48,807.25,32,10,45.2700492960793,0.0356121427091313,-23.66166989824753,48.0,10.0
498286918011224065,6,6,6,6,6,6,6,6,0.0,6,1,,,,,
498287166909579264,108,42,60,66,78,90,102,108,251.08333333333331,73,14,106.19813084795652,0.021847258246282,-33.30391457326388,108.0,14.0
498287947301814274,108,42,42,48,54,60,108,108,109.86666666666666,59,11,7260061.687477343,0.0068355883100401,1730.0723791500748,108.0,11.0
498289596463980544,480,48,192,306,372,408,474,480,1098.4333333333334,300,13,479.78103306337954,0.0365817110218953,-12.520578331303456,480.0,13.0
498290802255466498,6,6,6,6,6,6,6,6,0.0,6,1,,,,,
